chart_id,body,expected_longitude,actual_longitude,deviation_deg,deviation_arcsec,tolerance_deg,within_tolerance
quito_equinox,Pluto,238.4007,238.4011,0.0004,1.47,0.01,PASS
ny_dst_spring,Sun,13.6421,13.642,0.0001,0.3,0.01,PASS
ny_dst_spring,Moon,300.5847,300.5847,0.0,0.13,0.02,PASS
ny_dst_spring,Mercury,5.2759,5.2754,0.0005,1.91,0.01,PASS
ny_dst_spring,Venus,14.4497,14.4494,0.0003,1.07,0.01,PASS
ny_dst_spring,Mars,309.8133,309.8134,0.0001,0.52,0.01,PASS
ny_dst_spring,Jupiter,194.0136,194.0123,0.0013,4.61,0.01,PASS
ny_dst_spring,Saturn,110.531,110.5312,0.0002,0.57,0.01,PASS
ny_dst_spring,Uranus,338.7856,338.7846,0.001,3.55,0.01,PASS
ny_dst_spring,Neptune,317.0201,317.0241,0.004,14.27,0.01,PASS
ny_dst_spring,Pluto,264.501,264.5009,0.0001,0.21,0.01,PASS
ny_dst_fall,Sun,216.8925,216.8926,0.0001,0.33,0.01,PASS
ny_dst_fall,Moon,183.718,183.7183,0.0003,1.05,0.02,PASS
ny_dst_fall,Mercury,239.827,239.8278,0.0008,2.93,0.01,PASS
ny_dst_fall,Venus,263.827,263.827,0.0,0.08,0.01,PASS
ny_dst_fall,Mars,47.8702,47.869,0.0012,4.24,0.01,PASS
ny_dst_fall,Jupiter,210.8943,210.8929,0.0014,5.09,0.01,PASS
ny_dst_fall,Saturn,130.8152,130.8157,0.0005,1.97,0.01,PASS
ny_dst_fall,Uranus,336.9605,336.9596,0.0009,3.21,0.01,PASS
ny_dst_fall,Neptune,314.8198,314.824,0.0042,14.96,0.01,PASS
ny_dst_fall,Pluto,262.689,262.689,0.0,0.1,0.01,PASS
tromso_midnight_sun,Sun,91.28,91.28,0.0,0.11,0.01,PASS
tromso_midnight_sun,Moon,331.0788,331.0787,0.0001,0.31,0.02,PASS
tromso_midnight_sun,Mercury,109.9283,109.9274,0.0009,3.21,0.01,PASS
tromso_midnight_sun,Venus,94.2873,94.2872,0.0001,0.23,0.01,PASS
tromso_midnight_sun,Mars,93.9476,93.9477,0.0001,0.47,0.01,PASS
tromso_midnight_sun,Jupiter,58.3173,58.3171,0.0002,0.63,0.01,PASS
tromso_midnight_sun,Saturn,55.7011,55.7027,0.0016,5.79,0.01,PASS
tromso_midnight_sun,Uranus,320.5145,320.5113,0.0032,11.42,0.01,PASS
tromso_midnight_sun,Neptune,306.0678,306.0707,0.0029,10.42,0.01,PASS
tromso_midnight_sun,Pluto,250.9957,250.9957,0.0,0.14,0.01,PASS
mumbai_2000,Sun,294.5122,294.5121,0.0001,0.43,0.01,PASS
mumbai_2000,Moon,34.8297,34.8298,0.0001,0.36,0.02,PASS
mumbai_2000,Mercury,294.081,294.0809,0.0001,0.35,0.01,PASS
